week,date,time,home_team,away_team,home_team_score,away_team_score,home_team_logo,away_team_logo
Week 7,15/09,13:30,Antwerp,Union SG,,,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png,https://static.sportid.be/images/soccer/teams/union_sg.png
Week 7,15/09,16:00,STVV,OH Louvain,,,https://static.sportid.be/images/soccer/teams/sinttruiden.png,https://static.sportid.be/images/soccer/teams/ohl.png
Week 7,15/09,18:30,Charleroi,Beerschot,,,https://static.sportid.be/images/soccer/teams/charleroi.png,https://static.sportid.be/images/soccer/teams/beerschot.png
Week 7,15/09,19:15,La Gantoise,KV Malines,,,https://static.sportid.be/images/soccer/teams/aagent.png,https://static.sportid.be/images/soccer/teams/kvmechelen.png
Week 8,20/09,20:45,Standard,Union SG,,,https://static.sportid.be/images/soccer/teams/standard.png,https://static.sportid.be/images/soccer/teams/union_sg.png
Week 8,21/09,16:00,Beerschot,STVV,,,https://static.sportid.be/images/soccer/teams/beerschot.png,https://static.sportid.be/images/soccer/teams/sinttruiden.png
Week 8,21/09,18:15,Westerlo,Antwerp,,,https://static.sportid.be/images/soccer/teams/westerlo.png,https://static.sportid.be/images/soccer/teams/rafc_logo_01.png
Week 8,21/09,20:45,Anderlecht,Charleroi,,,https://static.sportid.be/images/soccer/teams/anderlecht.png,https://static.sportid.be/images/soccer/teams/charleroi.png
Week 8,22/09,13:30,FC Bruges,La Gantoise,,,https://static.sportid.be/images/soccer/teams/clubbrugge.png,https://static.sportid.be/images/soccer/teams/aagent.png
Week 8,22/09,16:00,KV Malines,Cercle de Bruges,,,https://static.sportid.be/images/soccer/teams/kvmechelen.png,https://static.sportid.be/images/soccer/teams/cercle_brugge.png
Week 8,22/09,18:30,KRC Genk,FCV Dender EH,,,https://static.sportid.be/images/soccer/teams/racinggenk.png,https://static.sportid.be/images/soccer/teams/dender.png
Week 8,22/09,19:15,OH Louvain,KV Courtrai,,,https://static.sportid.be/images/soccer/teams/ohl.png,https://static.sportid.be/images/soccer/teams/kortrijk.png
Week 9,27/09,20:45,Charleroi,FC Bruges,,,https://static.sportid.be/images/soccer/teams/charleroi.png,https://static.sportid.be/images/soccer/teams/clubbrugge.png
Week 9,28/09,16:00,KRC Genk,KV Malines,,,https://static.sportid.be/images/soccer/teams/racinggenk.png,https://static.sportid.be/images/soccer/teams/kvmechelen.png
Week 9,28/09,18:15,Standard,Westerlo,,,https://static.sportid.be/images/soccer/teams/standard.png,https://static.sportid.be/images/soccer/teams/westerlo.png
